Sex and age,2000,2010
Male,138053563,151781326
Female,143368343,156964212
Under 5 years,19175798,20201362
5 to 9 years,20549505,20348657
10 to 14 years,20528072,20677194
15 to 19 years,20219890,22040343
20 to 24 years,18964001,21585999
25 to 34 years,39891724,41063948
35 to 44 years,45148527,41070606
45 to 54 years,37677952,45006716
55 to 59 years,13469237,19664805
60 to 64 years,10805447,16817924
65 to 74 years,18390986,21713429
75 to 84 years,12361180,13061122
85 years and over,4239587,5493433
18 years and over,209128094,234564071
21 years and over,196899193,220958853
62 years and over,41256029,49972181
65 years and over,34991753,40267984
